term1	term2	shared_verses
abd (servant/slave)	hurr (free)	Quran 2:178
abd (servant/slave)	qatl (killing)	Quran 2:178
abd (servant/slave)	qisas (retaliation)	Quran 2:178
abd (servant/slave)	rahma (mercy)	Quran 2:178
adl (justice)	hadd (limit/punishment)	Quran 16:76, Quran 5:106
adl (justice)	qatl (killing)	Quran 5:95
ahd (covenant/treaty)	haram (forbidden)	Quran 9:7
ahd (covenant/treaty)	kufr (disbelief)	Quran 9:12
ahd (covenant/treaty)	yatim (orphan)	Quran 17:34
amr (command)	hadd (limit/punishment)	Quran 12:41
amr (command)	huda (guidance)	Quran 6:71
amr (command)	kufr (disbelief)	Quran 49:7
amr (command)	qatl (killing)	Quran 3:154
amr (command)	rahma (mercy)	Quran 3:159
amr (command)	sharia (law)	Quran 45:18
diyya (blood-money)	qatl (killing)	Quran 4:92
diyya (blood-money)	raqaba (slave/neck)	Quran 4:92
diyya (blood-money)	tawba (repentance)	Quran 4:92
fitnah (persecution/trial)	haram (forbidden)	Quran 2:191, Quran 2:217
fitnah (persecution/trial)	qatl (killing)	Quran 2:191, Quran 2:217
fitnah (persecution/trial)	qital (fighting)	Quran 2:217
hadd (limit/punishment)	hukm (ruling)	Quran 12:67
hadd (limit/punishment)	ruh (spirit)	Quran 4:171
hadd (limit/punishment)	tawba (repentance)	Quran 4:18
hadd (limit/punishment)	zawj (spouse)	Quran 24:6, Quran 4:12
haram (forbidden)	huda (guidance)	Quran 2:198
haram (forbidden)	qatl (killing)	Quran 2:191, Quran 2:217
haram (forbidden)	qisas (retaliation)	Quran 2:194
haram (forbidden)	qital (fighting)	Quran 2:217
haram (forbidden)	zulm (oppression)	Quran 22:25
hurr (free)	qatl (killing)	Quran 2:178
hurr (free)	qisas (retaliation)	Quran 2:178
hurr (free)	rahma (mercy)	Quran 2:178
hurr (free)	ruh (spirit)	Quran 5:110
kufr (disbelief)	qatl (killing)	Quran 4:155
nahy (prohibition)	tawfiq (enabling)	Quran 11:88
qatl (killing)	qisas (retaliation)	Quran 2:178
qatl (killing)	qital (fighting)	Quran 2:217
qatl (killing)	rahma (mercy)	Quran 2:178
qatl (killing)	raqaba (slave/neck)	Quran 4:92
qatl (killing)	tawba (repentance)	Quran 4:92
qisas (retaliation)	rahma (mercy)	Quran 2:178
rahma (mercy)	zulm (oppression)	Quran 6:157
raqaba (slave/neck)	tawba (repentance)	Quran 4:92
