abd (servant/slave)	Quran 2:23, Quran 2:178, Quran 5:60, Quran 6:56, Quran 8:41, Quran 10:104, Quran 13:36, Quran 16:35, Quran 18:1, Quran 19:30, Quran 27:91, Quran 34:9, Quran 36:22, Quran 38:17, Quran 38:30, Quran 38:41, Quran 38:44, Quran 38:45, Quran 39:11, Quran 39:14, Quran 39:64, Quran 40:66, Quran 43:19, Quran 43:59, Quran 50:8, Quran 54:9, Quran 72:19, Quran 89:29, Quran 109:2, Quran 109:3, Quran 109:5
adl (justice)	Quran 2:48, Quran 2:123, Quran 2:282, Quran 4:58, Quran 5:95, Quran 5:106, Quran 6:70, Quran 16:76, Quran 16:90, Quran 49:9, Quran 65:2, Quran 82:7
ahd (covenant/treaty)	Quran 2:27, Quran 2:40, Quran 2:124, Quran 2:125, Quran 2:177, Quran 3:77, Quran 3:183, Quran 7:102, Quran 7:134, Quran 8:56, Quran 9:4, Quran 9:7, Quran 9:12, Quran 9:75, Quran 13:20, Quran 13:25, Quran 16:91, Quran 16:95, Quran 17:34, Quran 20:86, Quran 20:115, Quran 23:8, Quran 33:15, Quran 36:60, Quran 43:49, Quran 48:10, Quran 70:32
amanah (trust)	Quran 33:72
amr (command)	Quran 2:210, Quran 3:128, Quran 3:152, Quran 3:154, Quran 3:159, Quran 4:59, Quran 4:83, Quran 6:8, Quran 6:58, Quran 6:71, Quran 7:54, Quran 7:145, Quran 7:199, Quran 8:43, Quran 9:106, Quran 10:3, Quran 10:31, Quran 11:44, Quran 11:123, Quran 12:15, Quran 12:41, Quran 13:2, Quran 13:31, Quran 14:22, Quran 15:66, Quran 19:39, Quran 19:64, Quran 20:132, Quran 21:73, Quran 22:67, Quran 27:33, Quran 28:44, Quran 30:4, Quran 31:17, Quran 32:5, Quran 32:24, Quran 42:38, Quran 45:17, Quran 45:18, Quran 46:25, Quran 47:21, Quran 47:26, Quran 49:7, Quran 54:46, Quran 65:12, Quran 82:19
awra (nakedness)	Quran 33:13
daraba (strike)	Quran 2:60, Quran 7:160, Quran 14:24, Quran 14:45, Quran 16:75, Quran 16:76, Quran 16:112, Quran 18:11, Quran 22:73, Quran 25:39, Quran 26:63, Quran 30:28, Quran 30:58, Quran 36:78, Quran 39:27, Quran 39:29, Quran 43:17, Quran 43:57, Quran 47:4, Quran 57:13, Quran 66:10, Quran 66:11
dhimma (protection)	Quran 9:8, Quran 9:10
diyya (blood-money)	Quran 2:184, Quran 4:92, Quran 57:15
fitnah (persecution/trial)	Quran 2:191, Quran 2:217, Quran 3:7, Quran 4:91, Quran 9:47, Quran 9:48, Quran 9:49, Quran 33:14
